course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
GEST1004,WAN LUNG YAM,4,C+,B,C+,C+,35,MON 14:30-15:45 & THU 14:30-15:45 & TUE 11:30-12:20
GEST1004,WAN LUNG YAM,5,C+,B,C+,C+,35,FRI 10:00-10:50 & MON 10:00-11:15 & THU 10:00-11:15
GEST1007,GARY WONG / WONG KOON HO,1,C+,B-,C+,B-,81,MON 08:30-09:45 & THU 08:30-09:45
GEST1007,GARY WONG / WONG KOON HO,2,C+,B-,C+,B-,81,FRI 10:00-11:15 & TUE 10:00-11:15
GEST1015,NG KAR WEI,1,C+,B,B-,B-,20,MON 17:30-18:45 & THU 17:30-18:45
GEGA1000,"LIAO BOLUN, EDGAR",5,C,C,C,C,3,MON 08:30-09:45 & THU 08:30-09:45
GEGA1000,"LIAO BOLUN, EDGAR",6,C,C,C,C,3,MON 10:00-11:15 & THU 10:00-11:15
GEGA1000,"LIAO BOLUN, EDGAR",7,C,C,C,C,3,MON 13:00-14:15 & THU 13:00-14:15
GEGA1000,SPOONER PAUL BARRIE,8,C,C+,C-,C,77,FRI 08:30-09:45 & TUE 08:30-09:45
GEGA1000,SPOONER PAUL BARRIE,9,C,C+,C-,C,77,FRI 10:00-11:15 & TUE 10:00-11:15
GEGA1000,SPOONER PAUL BARRIE,10,C,C+,C-,C,77,FRI 13:00-14:15 & TUE 13:00-14:15
GELH1000,CHAN WAI CHU,14,C,C,C,C-,20,MON 10:00-11:15 & THU 10:00-11:15
GELH1000,CHAN WAI CHU,15,C,C,C,C-,20,SAT 10:00-11:15 & WED 10:00-11:15
GELH1000,CHAN WAI CHU,16,C,C,C,C-,20,SAT 11:30-12:45 & WED 11:30-12:45
GELH1000,SIO CHIO IEONG,1,C,B-,C+,C-,37,MON 10:00-11:15 & THU 10:00-11:15
GELH1000,SIO CHIO IEONG,2,C,B-,C+,C-,37,MON 11:30-12:45 & THU 11:30-12:45
GELH1000,SIO CHIO IEONG,3,C,B-,C+,C-,37,FRI 13:00-14:15 & TUE 13:00-14:15
GELH2002,GLEN TIMMERMANS,1,C,C+,C-,B-,81,FRI 10:00-12:45
GESB1002,DIMITRA AMARANTIDOU,1,C,C,C-,C+,106,MON 10:00-11:15 & THU 10:00-11:15
GESB1002,DIMITRA AMARANTIDOU,2,C,C,C-,C+,106,MON 10:00-11:15 & THU 10:00-11:15
GESB1002,DIMITRA AMARANTIDOU,3,C,C,C-,C+,106,MON 10:00-11:15 & THU 10:00-11:15
GESB1002,DIMITRA AMARANTIDOU,4,C,C,C-,C+,106,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1002,DIMITRA AMARANTIDOU,5,C,C,C-,C+,106,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1002,DIMITRA AMARANTIDOU,6,C,C,C-,C+,106,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1002,DIMITRA AMARANTIDOU,7,C,C,C-,C+,106,MON 13:00-14:15 & THU 13:00-14:15
GESB1002,DIMITRA AMARANTIDOU,8,C,C,C-,C+,106,MON 13:00-14:15 & THU 13:00-14:15
GESB1002,DIMITRA AMARANTIDOU,9,C,C,C-,C+,106,MON 13:00-14:15 & THU 13:00-14:15
GESB1002,DIMITRA AMARANTIDOU,10,C,C,C-,C+,106,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,11,C,C,C-,C+,106,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,12,C,C,C-,C+,106,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,13,C,C,C-,C+,106,MON 14:30-15:45 & THU 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,14,C,C,C-,C+,106,MON 14:30-15:45 & THU 14:30-15:45
GESB1002,DIMITRA AMARANTIDOU,15,C,C,C-,C+,106,MON 14:30-15:45 & THU 14:30-15:45
GESB1003,LAI KUAN JU,1,C,B-,B-,C+,79,MON 10:00-11:15 & THU 10:00-11:15
GESB1003,LAI KUAN JU,2,C,B-,B-,C+,79,MON 10:00-11:15 & THU 10:00-11:15
GESB1003,LAI KUAN JU,3,C,B-,B-,C+,79,MON 10:00-11:15 & THU 10:00-11:15
GESB1003,LAI KUAN JU,4,C,B-,B-,C+,79,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1003,LAI KUAN JU,5,C,B-,B-,C+,79,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1003,LAI KUAN JU,6,C,B-,B-,C+,79,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1006,MINGLI ZHENG,1,C,C,C+,C-,35,FRI 10:00-11:15 & TUE 10:00-11:15
GESB2001,JA YOUNG CHOE,1,C,C+,C,C+,12,FRI 14:30-15:45 & TUE 14:30-15:45
GESB2003,JOSEPH ADEA SY-CHANGCO,1,C,C+,C+,C-,20,FRI 13:00-14:15 & TUE 13:00-14:15
GESB2003,JOSEPH ADEA SY-CHANGCO,2,C,C+,C+,C-,20,MON 16:00-17:15 & THU 16:00-17:15
GESB2003,JOSEPH ADEA SY-CHANGCO,3,C,C+,C+,C-,20,FRI 17:30-18:45 & TUE 17:30-18:45
GEST1002,JUNG WOO PARK / WANG LI,2,C,B-,B,C-,13,MON 16:00-17:15 & THU 16:00-17:15
GEST1005,CHAN WING HAN BRENDA,1,C,C-,C+,D+,58,MON 08:30-09:45 & THU 08:30-09:45
GEST1009,LAM TENG,1,C,C+,C,C+,34,MON 08:30-09:45 & THU 08:30-09:45
GEST1010,IP WENG FAI,1,C,D+,C-,D+,15,FRI 10:00-11:15 & TUE 10:00-11:15
GEST1019,ZHANG MINGLEI,1,C,C+,C+,C,41,FRI 08:30-09:45 & TUE 08:30-09:45
GEGA2003,SOU VA IAN SUZANA,1,C-,C,D,B-,24,FRI 13:00-14:15 & TUE 13:00-14:15
GELH1000,LAO KENG CHONG,12,C-,D+,C+,D,30,MON 14:30-15:45 & THU 14:30-15:45
GELH1000,LAO KENG CHONG,13,C-,D+,C+,D,30,FRI 10:00-11:15 & TUE 10:00-11:15
GELH1000,LO IN FAT,8,C-,C-,C-,D+,36,FRI 08:30-09:45 & TUE 08:30-09:45
GELH1000,MA WAN CHAM,11,C-,C-,C,C-,168,FRI 17:30-18:45 & TUE 17:30-18:45
GESB1001,KUOK OI MEI,1,C-,C-,C,D+,38,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,KUOK OI MEI,2,C-,C-,C,D+,38,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,KUOK OI MEI,3,C-,C-,C,D+,38,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,KUOK OI MEI,4,C-,C-,C,D+,38,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1001,KUOK OI MEI,5,C-,C-,C,D+,38,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1001,KUOK OI MEI,6,C-,C-,C,D+,38,FRI 11:30-12:45 & TUE 11:30-12:45
GESB1001,KUOK OI MEI,7,C-,C-,C,D+,38,MON 13:00-14:15 & THU 13:00-14:15
