course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
CPED1000,SUN SISI,505,B+,A,A,A,4,TUE 17:30-18:45
CPED1000,SUN SISI,507,B+,A,A,A,4,THU 17:30-18:45
CPED1002,SAM KAI CHONG,17,B+,A,B,A,1,MON 17:30-19:15
CPED1002,SAM KAI CHONG,18,B+,A,B,A,1,MON 19:30-21:15
ECEN1008,VAI MANG I,2,B+,B,B+,B,12,FRI 14:00-15:45 & TUE 14:00-15:45
EDUC2003,CHEN MENGDI,3,B+,A,A-,A,2,FRI 17:30-18:45 & TUE 17:30-18:45
EELC1011,RICARDO FRANCO RIBEIRO,5,B+,B,A,A-,2,FRI 08:30-09:45 & MON 08:30-09:45 & THU 08:30-09:45 & TUE 08:30-09:45
EMEN2000,LO KIN HO,1,B+,A-,A-,A,12,MON 16:00-17:45 & THU 16:00-17:45
EMEN3030,LAO SENG KIN,1,B+,A,A,A,5,FRI 14:00-15:45 & TUE 14:00-15:45
ENGL3001,MATTHEW IAN GIBSON,1,B+,A,A-,A,1,MON 11:30-12:45 & THU 11:30-12:45
ENGL3001,MATTHEW IAN GIBSON,2,B+,A,A-,A,1,FRI 10:00-11:15 & TUE 10:00-11:15
GEGA1006,ZHA CHENYANG,4,B+,A-,A-,A-,18,FRI 17:30-18:45 & TUE 17:30-18:45
GELH2001,JEREMY CENTENO DE CHAVEZ,1,B+,A,B+,B+,18,MON 10:00-12:45
GELH2001,JEREMY CENTENO DE CHAVEZ,2,B+,A,B+,B+,18,FRI 16:00-18:45
GEST1003,WAN LUNG YAM,1,B+,A-,A-,B+,6,MON 11:30-12:45 & THU 11:30-12:45
GPAD2015,YIN WEIWEN,1,B+,B,B,B+,16,FRI 11:30-12:45 & TUE 11:30-12:45
IRTM3009,JA YOUNG CHOE,1,B+,A-,B,A,1,WED 10:00-12:45
IRTM4001,CHARK CHI HANG,1,B+,A,A,B+,6,TUE 10:00-12:45
JAPN1004,LIDIA SUJADI,5,B+,A,A,A,7,MON 08:30-09:45 & THU 08:30-09:45
JAPN1004,LIDIA SUJADI,6,B+,A,A,A,7,MON 11:30-12:45 & THU 11:30-12:45
JAPN1004,LIDIA SUJADI,7,B+,A,A,A,7,FRI 11:30-12:45 & TUE 11:30-12:45
JAPN3000,REN WEIJIE,1,B+,A,B+,B+,4,FRI 14:30-15:45 & TUE 14:30-15:45
JAPN3000,REN WEIJIE,2,B+,A,B+,B+,4,FRI 16:00-17:15 & TUE 16:00-17:15
LAWS1003,KONG WA,101,B+,A,B-,A-,1,
LAWS3006,MA ZHE,1,B+,A,B,A,1,
MATH3021,LIU ZHI,1,B+,A,B,A,4,FRI 10:30-11:20 & MON 10:00-11:15 & THU 10:00-11:15
PHIL1014,LEE TING MIEN,1,B+,A-,B+,A-,4,WED 10:00-12:45
PORT1008,ALVES DOS SANTOS TEIXEIRA GOMES NUNO MIGUEL,1,B+,A-,B,A-,15,MON 08:30-09:45 & THU 08:30-09:45
PORT1008,ALVES DOS SANTOS TEIXEIRA GOMES NUNO MIGUEL,2,B+,A-,B,A-,15,MON 10:00-11:15 & THU 10:00-11:15
PSYC1000,TONG KWOK KIT,1,B+,B+,B+,B-,3,MON 17:30-18:45 & THU 17:30-18:45
PSYC1000,TONG KWOK KIT,2,B+,B+,B+,B-,3,MON 14:30-15:45 & THU 14:30-15:45
PSYC4003,KWAN YAN YEE LETTY,1,B+,A,B,A,1,
PSYC4008,XIAO TING,1,B+,B+,A-,A-,5,MON 13:00-14:15 & THU 13:00-14:15
ACCT2000,TCHIANG VAN KAM,1,B,A,B-,A,22,FRI 14:30-15:45 & TUE 14:30-15:45
ACCT2000,TCHIANG VAN KAM,2,B,A,B-,A,22,FRI 17:30-18:45 & TUE 17:30-18:45
ACCT4010,CHAN WENG HANG,2,B,A,B+,A,1,FRI 14:30-15:45 & TUE 14:30-15:45
APAC1001,ZHOU BINGPU,1,B,A-,B,B+,21,MON 13:00-14:15 & MON 14:30-15:45 & THU 14:30-15:45
BECO2000,LEI CHUN KWOK,1,B,B+,B-,A-,42,FRI 17:30-18:45 & TUE 17:30-18:45
BECO2000,LEI CHUN KWOK,2,B,B+,B-,A-,42,FRI 13:00-14:15 & TUE 13:00-14:15
CHLL1000,CHEANG NENG IAN,3,B,B+,A-,A-,6,FRI 13:00-14:15 & TUE 13:00-14:15
CISC1004,MIGUEL JUNIOR GOMES DA COSTA,1,B,A-,B,B+,39,MON 14:30-15:45 & THU 14:30-15:45
CISC3029,ZHANG LIMING,1,B,B+,B+,B,9,FRI 14:30-15:45 & TUE 14:30-15:45
CIVL3002,LI YONGJIE,1,B,B,B+,B+,4,FRI 10:00-11:15 & TUE 10:00-11:15 & WED 11:00-12:45
CIVL3007,LOK MAN HOI,1,B,A,A,A,1,THU 17:30-18:20 & WED 09:00-10:45
COMM2005,CHANG WEN YU ANGELA,1,B,B,B-,B,78,MON 16:00-17:15 & THU 16:00-17:15
COMM2005,CHANG WEN YU ANGELA,2,B,B,B-,B,78,MON 13:00-14:15 & THU 13:00-14:15
COMM3003,LIU SHIH DIING,1,B,B,B-,B+,4,FRI 10:00-11:15 & TUE 10:00-11:15
COMM3003,LIU SHIH DIING,2,B,B,B-,B+,4,FRI 11:30-12:45 & TUE 11:30-12:45
COMM4003,SOU VA IAN SUZANA,3,B,A,A,A,1,FRI 10:00-11:15 & TUE 10:00-11:15
CPED1000,HUANG CAISHI,1,B,A,B,A-,13,MON 17:30-18:45
CPED1000,HUANG CAISHI,3,B,A,B,A-,13,TUE 17:30-18:45
CPED1000,HUANG CAISHI,5,B,A,B,A-,13,THU 17:30-18:45
CPED1000,LI WAI CHUNG,301,B,A,A,A,1,MON 17:30-18:45
CPED1000,LI WAI CHUNG,304,B,A,A,A,1,THU 17:30-18:45
CPED1001,WONG SOI PO,3,B,B+,A-,B+,8,TUE 09:30-11:15
CPED1001,WONG SOI PO,4,B,B+,A-,B+,8,TUE 11:30-13:15
CPED1001,WONG SOI PO,5,B,B+,A-,B+,8,WED 09:30-11:15
CPED1001,WONG SOI PO,6,B,B+,A-,B+,8,WED 11:30-13:15
CPED1002,CHEANG CHI MENG,16,B,A,A,A,2,MON 11:30-13:15
CPED1002,CHONG CHI SEAK,13,B,B,B,B,26,MON 17:30-19:15
CPED1002,CHONG CHI SEAK,14,B,B,B,B,26,MON 19:30-21:15
CPED1002,CHONG CHI SEAK,15,B,B,B,B,26,THU 17:30-19:15
CPED1002,LAM KOON SHING,30,B,A,C,B,1,TUE 17:30-19:15
CPED1002,LAM KOON SHING,31,B,A,C,B,1,TUE 19:30-21:15
CPED1002,LON CHOU NEI,19,B,A,A,A,1,THU 13:30-15:15
CPED1002,LON CHOU NEI,20,B,A,A,A,1,FRI 13:30-15:15
CPED1002,LON CHOU NEI,21,B,A,A,A,1,FRI 15:30-17:15
ECON4011,MAK KENG IENG,1,B,C,A,B,1,WED 19:00-21:45
EDUC1059,CAI GUO JIE,1,B,A-,B+,A,3,TUE 10:00-12:45
EDUC3009,YEUNG SIU KWAI,1,B,B,B-,C,6,FRI 10:00-11:15 & TUE 10:00-11:15
EMEN2003,KONG HUI,1,B,B+,B,A-,2,FRI 14:00-15:45 & TUE 14:00-15:45
ENGL3044,HARI VENKATESAN,1,B,B,B,B+,8,MON 10:00-11:15 & THU 10:00-11:15
ENGL3046,LEI LAI CHENG VICTORIA,1,B,A,A,B,3,FRI 10:00-11:15 & TUE 10:00-11:15
ENGL4001,DAMIAN JOHN SHAW,1,B,A,F,A,1,FRI 14:30-17:15
